City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Tonj,SS,2021-05-24 17:01:39,7.2737,28.6822,81.54,65,60,4.05
165,Airai,TL,2021-05-24 17:01:39,-8.9266,125.4092,57.18,89,46,1.74
166,Clyde River,CA,2021-05-24 17:01:40,70.4692,-68.5914,19.63,93,90,32.21
167,Butaritari,KI,2021-05-24 17:01:40,3.0707,172.7902,76.46,97,100,4.72
168,Bjerkvik,NO,2021-05-24 17:01:40,68.5597,17.5189,47.19,66,35,3.31
169,Kruisfontein,ZA,2021-05-24 17:01:41,-34.0033,24.7314,72.88,26,100,7.83
170,Ashqelon,IL,2021-05-24 16:56:56,31.6693,34.5715,76.82,64,0,6.35
171,Buala,SB,2021-05-24 17:01:41,-8.145,159.5921,78.78,81,93,2.73
172,Turukhansk,RU,2021-05-24 17:01:41,65.8167,87.9833,32.36,78,99,22.86
173,Iquique,CL,2021-05-24 17:01:42,-20.2208,-70.1431,68.95,64,73,7.74
174,Marsh Harbour,BS,2021-05-24 17:01:42,26.5412,-77.0636,75.63,61,0,10.69
175,Kysyl-Syr,RU,2021-05-24 17:01:42,63.8986,122.7617,45.59,71,96,11.5
176,Nambucca Heads,AU,2021-05-24 17:01:43,-30.65,153.0,59.16,88,48,5.23
177,Sao Filipe,CV,2021-05-24 17:01:43,14.8961,-24.4956,72.84,80,5,10.94
178,Elko,US,2021-05-24 17:01:43,41.0002,-115.5012,53.74,61,32,11.99
179,San Juan,AR,2021-05-24 16:57:19,-31.5375,-68.5364,70.74,20,0,3.53
180,Teabo,MX,2021-05-24 17:01:44,20.4,-89.2833,91.15,39,87,6.71
181,Ahipara,NZ,2021-05-24 17:01:44,-35.1667,173.1667,55.99,71,100,13.71
182,Marathon,US,2021-05-24 17:01:44,44.9,-89.7668,74.08,79,90,11.27
183,Malko Tarnovo,BG,2021-05-24 17:01:45,41.9833,27.5333,66.18,79,80,4.74
184,Sisimiut,GL,2021-05-24 17:01:45,66.9395,-53.6735,33.64,79,100,14.27
185,Dana Point,US,2021-05-24 17:01:45,33.467,-117.6981,86.34,60,0,3.0
186,Irbeyskoye,RU,2021-05-24 17:01:46,55.6428,95.4522,48.7,88,68,8.84
187,Keetmanshoop,NA,2021-05-24 17:01:46,-26.5833,18.1333,72.88,21,66,10.74
188,Burnie,AU,2021-05-24 17:01:46,-41.0667,145.9167,54.95,89,100,7.4
189,Kavieng,PG,2021-05-24 17:01:47,-2.5744,150.7967,80.33,82,95,2.89
190,Norman Wells,CA,2021-05-24 17:01:47,65.282,-126.8329,48.96,64,80,2.19
191,Mazara Del Vallo,IT,2021-05-24 17:01:47,37.6641,12.588,82.36,82,11,13.04
192,Ipojuca,BR,2021-05-24 17:01:48,-8.3989,-35.0639,82.31,64,44,10.56
193,Hasaki,JP,2021-05-24 17:01:48,35.7333,140.8333,64.8,76,68,15.77
194,Grindavik,IS,2021-05-24 17:01:48,63.8424,-22.4338,48.67,72,75,15.55
195,Belogorsk,RU,2021-05-24 17:01:49,50.9158,128.4611,43.56,72,71,8.12
196,Chuy,UY,2021-05-24 17:01:49,-33.6971,-53.4616,60.42,59,11,14.94
197,Shahrud,IR,2021-05-24 17:01:49,36.4182,54.9763,66.87,49,100,7.34
198,Sinnamary,GF,2021-05-24 17:01:12,5.3833,-52.95,78.04,91,100,9.31
199,Leningradskiy,RU,2021-05-24 17:01:50,69.3833,178.4167,27.09,91,80,6.8
200,Cabo San Lucas,MX,2021-05-24 16:57:46,22.8909,-109.9124,89.51,64,2,5.73
201,Hobyo,SO,2021-05-24 17:01:50,5.3505,48.5268,80.87,70,78,19.48
