City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Plettenberg Bay,ZA,61.83,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
255,Sinnamary,GF,74.39,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
256,Geraldton,AU,57.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
257,Varia,FR,81.0,few clouds,44.5725,-0.1104,Au Clos Magnolia
260,Thompson,CA,50.0,overcast clouds,55.7435,-97.8558,Burntwood Hotel
261,Catarama,EC,72.07,overcast clouds,-1.5833,-79.4667,Hotel Ricaurte
263,Faanui,PF,78.53,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
265,Torbay,CA,61.0,broken clouds,47.6666,-52.7314,Gallows Cove
266,Ahome,MX,71.1,clear sky,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
267,Tefe,BR,78.91,clear sky,-3.3542,-64.7114,Aracati Hotel
268,Bambanglipuro,ID,62.01,overcast clouds,-7.95,110.2833,Puri Brata
269,Vieques,PR,82.9,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
270,Soyo,AO,82.4,broken clouds,-6.1349,12.3689,Hotel Mpampa
271,Union,US,55.9,broken clouds,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
272,Chandil,IN,91.2,scattered clouds,22.9667,86.05,mera pyar
275,Lagoa,PT,62.67,overcast clouds,39.05,-27.9833,Casa Das Faias
276,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
277,Puerto Escondido,MX,76.03,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
278,Avarua,CK,69.85,broken clouds,-21.2078,-159.775,Paradise Inn
279,Port Elizabeth,ZA,69.1,few clouds,-33.918,25.5701,39 On Nile Guest House
280,Ha Tinh,VN,89.71,broken clouds,18.3333,105.9,Phú Quý
281,Alcaniz,ES,79.83,overcast clouds,41.05,-0.1333,Hotel Ciudad de Alcañiz
282,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
283,Kulhudhuffushi,MV,83.28,broken clouds,6.6221,73.07,Haajy Guest House 1
284,Wucheng,CN,72.09,broken clouds,29.6008,118.175,Xiuwu Restaurant
285,Intibuca,HN,58.59,overcast clouds,14.3167,-88.1667,Hotel Ipsan-Nah
286,Owase,JP,63.61,few clouds,34.0667,136.2,Business Hotel Phoenix
287,Komsomolskiy,UZ,93.92,clear sky,40.4272,71.7189,Ikathouse
290,Udachnyy,RU,65.14,broken clouds,66.4167,112.4,Severnoye Siyaniye
291,Pimentel,PE,66.49,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
292,Uvira,CD,82.17,broken clouds,-3.4067,29.1458,Hotel Suzana
294,Sambava,MG,81.07,clear sky,-14.2667,50.1667,Melrose
296,Byron Bay,AU,53.6,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
297,Tura,IN,74.79,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
301,San Pedro,PH,87.31,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
302,Isakly,RU,56.71,overcast clouds,54.1333,51.5333,"Gostinitsa ""Tsentral'naya"" Ooo ""Vektor-S"""
303,Denison,US,64.71,moderate rain,33.7557,-96.5367,Holiday Inn Express & Suites Denison North-Lake Texoma
304,Portland,US,60.24,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
305,Bay Saint Louis,US,66.29,clear sky,30.3088,-89.33,The Abode Guest House
306,Lompoc,US,56.37,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
307,Nazas,MX,70.34,clear sky,25.2333,-104.1333,Hotel Río Nazas
308,Abonnema,NG,82.4,light rain,4.7084,6.7931,Corper's Lodge Obonoma
310,Abong Mbang,CM,89.28,broken clouds,3.9833,13.1833,Auberge Angle Sur
312,Lithakia,GR,72.82,scattered clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
314,Morgan City,US,68.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
315,Orbetello,IT,75.2,few clouds,42.4408,11.2196,Argentario Golf Resort & Spa
316,San Francisco,US,60.76,clear sky,37.7749,-122.4194,The Clift Royal Sonesta Hotel
317,Monrovia,LR,82.17,light rain,6.3005,-10.7969,Sunset Inn
320,Fairbanks,US,56.82,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
321,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
322,Mount Isa,AU,62.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
323,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
325,Glens Falls,US,51.71,overcast clouds,43.3095,-73.644,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
327,Miramar,US,82.99,clear sky,25.9873,-80.2323,Miramar
328,Kangaba,ML,96.13,overcast clouds,11.9333,-8.4167,Hôtel Mandé
329,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
330,Kirakira,SB,77.86,overcast clouds,-10.4544,161.9205,SanBiz Lodge
331,Marsa Matruh,EG,78.8,clear sky,31.3525,27.2453,Beau Site
332,Floro,NO,51.8,broken clouds,61.5996,5.0328,Kinn Hotell Florø
333,Stornoway,GB,64.92,few clouds,58.2093,-6.3865,Caladh Inn
334,Tremedal,BR,73.76,scattered clouds,-14.9758,-41.4108,Pousada Estillos
335,Seoul,KR,71.6,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
338,Boueni,YT,85.98,light rain,-12.9025,45.0761,The feet in water
339,Pucallpa,PE,72.32,overcast clouds,-8.3791,-74.5539,Hospedaje Komby
341,Wangkui,CN,67.6,overcast clouds,46.8333,126.5,Xinxinyuan Restaurant
342,Zaton,RU,78.39,clear sky,53.2936,83.8072,Готель «Прага»
343,Kirkwall,GB,53.6,fog,58.9848,-2.9587,Kirkwall Hotel
344,Telde,ES,72.05,few clouds,27.9924,-15.4192,El Baladero Apartamentos
345,Muskegon,US,56.05,overcast clouds,43.3,-86.1334,Timberline Estates
347,Souillac,MU,80.6,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
348,Dingle,PH,80.56,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
349,Tornio,FI,62.6,clear sky,65.8481,24.1466,Park Hotel Tornio
