City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Guozhen,CN,34.3659,107.359,84.31,25,85,8.32,overcast clouds
179,Chistogorskiy,RU,53.9835,87.3843,70.83,57,88,3.15,overcast clouds
180,Piopio,NZ,-38.4667,175.0167,46.44,99,99,1.05,overcast clouds
181,Daultala,PK,33.1925,73.1413,83.1,35,92,19.13,overcast clouds
182,Cayenne,GF,4.9333,-52.3333,78.84,94,75,10.07,broken clouds
183,Tocopilla,CL,-22.092,-70.1979,64.72,72,93,5.59,overcast clouds
184,Homer,US,59.6425,-151.5483,51.04,90,90,3.44,overcast clouds
185,Atlantic Beach,US,30.3344,-81.3987,77.05,69,1,1.99,clear sky
186,Coihaique,CL,-45.5752,-72.0662,44.6,93,75,4.61,light rain
187,Dakoro,NE,14.5106,6.765,104.23,5,0,3.85,clear sky
188,Kavieng,PG,-2.5744,150.7967,80.46,83,100,8.7,moderate rain
189,Balakhta,RU,55.38,91.6,59.94,52,28,4.23,scattered clouds
190,Segou,ML,13.4317,-6.2157,99.45,27,96,9.86,overcast clouds
191,Ahuimanu,US,21.4447,-157.8378,74.75,72,20,3.47,few clouds
192,Zachepylivka,UA,49.1939,35.2394,64.08,68,90,10.04,light rain
193,Hithadhoo,MV,-0.6,73.0833,84.06,70,39,18.45,scattered clouds
194,Kavaratti,IN,10.5669,72.642,83.68,76,56,21.23,broken clouds
195,Yola,NG,9.2,12.4833,93.02,43,0,11.5,clear sky
196,Alakurtti,RU,66.9672,30.3491,53.26,52,79,8.41,broken clouds
197,Sungaipenuh,ID,-2.0833,101.3833,66.49,94,94,0.78,moderate rain
198,Ciro Marina,IT,39.3732,17.126,68.0,45,40,8.05,scattered clouds
199,Nosy Varika,MG,-20.5833,48.5333,78.91,73,2,9.15,clear sky
200,Esso,RU,55.9333,158.7,37.71,96,97,3.11,overcast clouds
201,Namangan,UZ,40.9983,71.6726,93.2,17,2,4.61,clear sky
202,East London,ZA,-33.0153,27.9116,70.74,46,0,8.05,clear sky
203,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,73,75,6.73,broken clouds
204,Luyang,CN,27.6239,110.0989,73.2,81,60,1.97,light rain
205,Leningradskiy,RU,69.3833,178.4167,27.14,98,74,9.82,broken clouds
206,Port Alfred,ZA,-33.5906,26.891,68.59,35,100,1.21,overcast clouds
207,Medea,DZ,36.2642,2.7539,70.25,23,100,6.24,overcast clouds
208,Mugumu,TZ,-1.85,34.7,79.34,47,79,0.78,broken clouds
209,Potenza,IT,40.6443,15.8086,70.92,41,58,1.99,broken clouds
210,Parabel,RU,58.6978,81.4825,80.58,37,65,12.37,broken clouds
211,College,US,64.8569,-147.8028,56.8,64,75,0.0,broken clouds
212,Pevek,RU,69.7008,170.3133,38.16,63,15,2.46,few clouds
213,Santiago Del Estero,AR,-27.7951,-64.2615,51.21,50,0,6.2,clear sky
214,Asfi,MA,32.2994,-9.2372,67.66,74,73,13.02,broken clouds
215,Dikson,RU,73.5069,80.5464,30.87,98,100,17.92,light snow
216,Mount Gambier,AU,-37.8333,140.7667,49.91,53,100,8.05,overcast clouds
217,Bokino,RU,52.6374,41.4597,51.1,82,100,8.43,overcast clouds
218,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,65,95,5.91,overcast clouds
219,Constitucion,CL,-35.3333,-72.4167,57.85,84,99,1.59,overcast clouds
220,Kumbo,CM,6.2,10.6667,68.74,84,95,3.0,moderate rain
221,Prainha,BR,-1.8,-53.48,77.63,86,23,2.53,moderate rain
222,Tommot,RU,58.9564,126.2925,52.81,91,98,4.0,light rain
223,Pajapan,MX,18.25,-94.7,80.6,94,90,6.91,mist
224,Haines Junction,CA,60.7522,-137.5108,32.0,93,100,1.14,overcast clouds
225,Biak,ID,-0.9131,122.8766,77.45,85,61,3.8,broken clouds
226,Dhidhdhoo,MV,6.8833,73.1,83.26,75,68,19.04,broken clouds
227,Popondetta,PG,-8.7537,148.2534,73.76,91,90,3.49,overcast clouds
228,Saint-Pierre,RE,-21.3393,55.4781,78.8,69,0,9.22,clear sky
229,Lavrentiya,RU,65.5833,-171.0,29.98,91,68,10.09,broken clouds
230,Norman Wells,CA,65.282,-126.8329,46.44,76,75,4.61,broken clouds
231,Rawson,AR,-43.3002,-65.1023,43.07,80,52,5.37,broken clouds
232,Road Town,VG,18.4167,-64.6167,80.6,78,40,8.05,scattered clouds
233,Kaitangata,NZ,-46.2817,169.8464,50.94,87,100,8.12,overcast clouds
234,Kimbe,PG,-5.5502,150.1429,76.53,94,100,4.76,light rain
235,Beboto,TD,8.2668,16.939,105.6,21,61,5.14,broken clouds
236,Kayerkan,RU,69.3497,87.7602,33.42,84,100,12.97,overcast clouds
237,Wanning,CN,18.8003,110.3967,85.08,81,89,13.2,overcast clouds
238,Inongo,CD,-1.95,18.2667,80.1,56,80,5.14,broken clouds
239,Bulata,PH,9.8599,122.4016,80.85,85,100,7.4,overcast clouds
240,Axim,GH,4.8699,-2.2405,81.52,80,99,10.31,light rain
241,San Patricio,US,28.017,-97.5169,80.44,86,97,8.61,overcast clouds
242,Kaeo,NZ,-35.1,173.7833,51.01,94,8,1.01,clear sky
243,Port Hardy,CA,50.6996,-127.4199,53.6,94,75,5.53,light rain
244,Puerto Ayora,EC,-0.7393,-90.3518,73.99,87,71,7.0,broken clouds
245,Katherine,AU,-14.4667,132.2667,71.92,64,62,8.05,broken clouds
246,Bardiyah,LY,31.7561,25.0865,77.76,48,4,12.03,clear sky
247,Severo-Kurilsk,RU,50.6789,156.125,36.93,98,100,24.92,moderate rain
248,Sheopur,IN,25.6667,76.7,107.8,15,31,9.64,scattered clouds
249,Cockburn Town,TC,21.4612,-71.1419,80.6,74,40,11.5,scattered clouds
250,Jiaonan,CN,35.8786,119.9753,69.82,82,79,11.23,light rain
251,Ottawa,CA,45.4112,-75.6981,56.71,72,20,1.9,few clouds
252,Salalah,OM,17.0151,54.0924,87.89,74,75,12.66,broken clouds
253,Avera,US,33.194,-82.5271,62.6,88,1,5.75,clear sky
254,Plettenberg Bay,ZA,-34.0527,23.3716,61.83,65,97,12.62,overcast clouds
255,Sinnamary,GF,5.3833,-52.95,74.39,92,100,6.91,moderate rain
256,Geraldton,AU,-28.7667,114.6,57.61,88,90,16.26,overcast clouds
257,Varia,FR,44.5725,-0.1104,81.0,52,20,7.0,few clouds
258,Pangnirtung,CA,66.1451,-65.7125,32.0,93,40,9.22,scattered clouds
259,Fortuna,US,40.5982,-124.1573,46.65,87,89,3.04,overcast clouds
260,Thompson,CA,55.7435,-97.8558,50.0,66,90,10.36,overcast clouds
261,Catarama,EC,-1.5833,-79.4667,72.07,94,93,2.46,overcast clouds
262,Revelstoke,CA,50.9832,-118.2023,46.42,87,1,2.3,clear sky
263,Faanui,PF,-16.4833,-151.75,78.53,68,98,13.53,overcast clouds
264,Tiksi,RU,71.6872,128.8694,35.6,90,74,4.65,broken clouds
265,Torbay,CA,47.6666,-52.7314,61.0,51,75,5.75,broken clouds
266,Ahome,MX,25.9167,-109.1833,71.1,87,2,5.01,clear sky
267,Tefe,BR,-3.3542,-64.7114,78.91,100,0,4.61,clear sky
268,Bambanglipuro,ID,-7.95,110.2833,62.01,88,98,5.79,overcast clouds
